9.147.112.116,9/14/2016
6.209.9.183,4/10/2016
101.145.66.206,11/19/2015
48.31.219.161,2/2/2016
186.127.253.216,5/11/2016
182.161.212.25,7/25/2016
209.102.35.164,3/16/2016
189.74.219.42,3/2/2016
135.193.11.34,4/8/2016
213.201.240.127,3/26/2016
42.126.145.169,2/19/2016
221.101.23.159,9/8/2016
207.237.70.68,8/19/2016
212.41.163.54,9/27/2015
213.252.202.232,12/7/2015
223.168.185.88,2/3/2016
167.8.27.139,4/21/2016
214.102.84.131,8/5/2016
168.14.52.75,1/6/2016
19.231.106.123,9/9/2016
48.176.169.222,9/13/2016
181.74.2.156,12/5/2015
219.99.19.149,2/25/2016
232.66.229.196,9/13/2016
242.174.211.39,12/16/2015
236.128.246.103,4/8/2016
44.229.223.128,1/26/2016
159.180.102.192,8/6/2016
188.253.119.175,10/5/2015
185.22.112.79,1/20/2016
38.163.210.240,4/1/2016
122.248.13.68,10/7/2015
49.19.249.119,4/29/2016
220.209.118.192,9/2/2016
206.229.146.180,11/3/2015
168.79.21.44,6/19/2016
244.225.60.161,10/29/2015
158.42.187.123,5/21/2016
19.96.87.122,8/1/2016
86.31.186.120,12/7/2015
219.250.48.236,11/28/2015
22.63.141.126,4/3/2016
148.80.170.43,1/18/2016
174.220.120.250,12/13/2015
86.185.28.51,4/3/2016
239.212.73.250,6/18/2016
64.234.195.234,11/21/2015
54.209.204.2,7/8/2016
49.75.2.199,8/14/2016
13.73.228.225,1/11/2016
48.174.52.167,5/22/2016
143.66.30.10,3/1/2016
172.70.59.12,5/20/2016
206.47.108.196,1/24/2016
229.75.115.127,3/24/2016
117.116.142.56,1/18/2016
79.87.146.21,3/10/2016
194.170.211.205,4/1/2016
93.199.134.176,4/28/2016
136.144.126.27,2/11/2016
254.191.249.187,2/19/2016
190.178.172.182,3/2/2016
225.169.158.206,5/27/2016
114.40.98.186,10/19/2015
252.54.40.194,5/5/2016
147.208.29.198,9/4/2016
124.135.185.232,9/5/2016
134.158.163.98,11/21/2015
6.83.95.25,10/27/2015
177.59.18.51,10/29/2015
251.73.68.91,6/14/2016
21.79.46.56,10/31/2015
89.109.233.80,6/20/2016
150.111.122.86,3/10/2016
92.3.43.103,8/1/2016
27.139.145.56,1/20/2016
94.72.120.209,3/21/2016
203.197.180.142,12/19/2015
62.248.253.51,9/22/2015
16.225.39.135,3/16/2016
238.98.218.226,1/16/2016
175.248.98.157,11/15/2015
99.139.116.62,6/5/2016
154.90.215.78,10/24/2015
216.243.192.188,3/3/2016
72.173.95.63,7/15/2016
